,batting_team,bowling_team,city,current_score,balls_left,wickets_left,crr,last_five,runs_x
5815,Sri Lanka,Bangladesh,Colombo,127,43,9,9.896103896103897,48.0,214
29702,Australia,India,Sydney,85,57,8,8.095238095238095,36.0,171
19629,Australia,New Zealand,Sydney,128,16,5,7.384615384615385,45.0,150
45874,Pakistan,New Zealand,Auckland,87,51,7,7.565217391304348,35.0,171
35378,Australia,England,Southampton,228,10,5,12.436363636363636,82.0,248
5833,Sri Lanka,Bangladesh,Colombo,153,27,6,9.870967741935484,43.0,214
31221,West Indies,Bangladesh,Mirpur,117,9,4,6.324324324324325,28.0,132
1532,Pakistan,West Indies,Dubai,47,76,9,6.409090909090909,43.0,160
20549,England,South Africa,Nottingham,25,88,7,4.6875,23.0,111
35954,New Zealand,England,Wellington,95,36,7,6.785714285714286,35.0,139
37871,South Africa,Australia,Centurion,27,92,8,5.785714285714286,27.0,128
23160,Pakistan,Sri Lanka,Colombo,60,72,7,7.5,32.0,172
6682,South Africa,Pakistan,Johannesburg,131,19,7,7.782178217821782,47.0,188
44151,Pakistan,Sri Lanka,Colombo,89,43,7,6.935064935064935,35.0,175
6864,Sri Lanka,South Africa,Cape Town,40,89,8,7.741935483870968,40.0,134
43257,England,South Africa,Cape Town,68,69,6,8.0,30.0,134
12366,Pakistan,England,Manchester,87,57,8,8.285714285714286,40.0,190
207,Australia,Sri Lanka,Adelaide,124,41,9,9.417721518987342,45.0,187
27768,Australia,England,Melbourne,114,20,5,6.84,34.0,147
49527,India,Bangladesh,Mirpur,97,31,6,6.53932584269663,46.0,166
37758,England,West Indies,Barbados,116,38,8,8.487804878048781,34.0,165
47298,South Africa,England,Mumbai,128,56,8,12.0,50.0,229
31849,Pakistan,New Zealand,Pallekele,170,3,5,8.717948717948717,41.0,177
35731,England,New Zealand,Auckland,192,16,6,11.076923076923077,58.0,214
35167,New Zealand,England,London,49,91,9,10.137931034482758,49.0,201
49237,India,West Indies,Mumbai,63,75,9,8.4,49.0,192
45735,Sri Lanka,New Zealand,Auckland,58,65,7,6.327272727272727,34.0,142
